"","Participant_ID","session_id","age","major","gender","Openness","Conscientiousness","Extraversion","Agreeableness","Neuroticism","Intrinsic","Mood","NFC","SelfEsteem"
"1","12",7385046,19,"Exercise Science","1",4,6.5,5,5,4,2.666666667,5,2.5,4
"2","13",7385155,18,"exercise science","1",1.5,7,2,2.5,7,2.533333333,7,2.333333333,1
"3","14",7391990,18,"Nursing","1",6.5,7,6,4.5,3,3.133333333,6.5,3.666666667,7
"4","15",7392153,18,"nursing","1",5.5,5,7,5.5,4,2.2,5.5,2.5,2
"5","16",7392233,18,"Psychology","1",5.5,6.5,4,5,3,2.666666667,6,3.5,5
"6","17",7392698,24,"Chemistry","2",4.5,4,4.5,2.5,2,2.666666667,5,3,5
"7","19",7392875,18,"Pre-med","1",3,6,3,3,5,2.866666667,2,4.333333333,2
"8","20",7397218,19,"nursing","2",4.5,5,3,4,3.5,2.266666667,4,2.666666667,5
"9","21",7397377,20,"Nursing","1",5.5,5,5.5,4.5,3,2.6,6,2.833333333,4
"10","22",7397497,18,"Early Childhood Education","1",5,6,7,5.5,4,2.933333333,3,3,5
"11","23",7399330,19,"Intervention Specialist K-12","1",5.5,5.5,5,6,2.5,2.466666667,6,3,4
"12","24",7399569,18,"Nursing","1",5.5,6.5,3.5,6.5,1,2.2,7,2,5
"13","27",7407138,20,"Biolgy","1",5,6.5,6.5,4.5,5,2.533333333,5.5,2.833333333,5
"14","28",7407324,21,NA,"1",5,6,4.5,4,4.5,2.333333333,6,3,5
"15","29",7407467,18,"Psychology","1",6,7,3.5,5,2.5,2.8,4,2.666666667,5
"16","30",7408019,18,"Integrated Social Studies","2",6,6.5,4.5,5.5,1.5,2.466666667,6,2.666666667,6
"17","33",7413094,18,"Athletic Training","1",6.5,6,4.5,6,4,3.4,6,3.833333333,6
"18","34",7413208,19,"Psychology","1",4.5,6.5,4.5,5,4.5,2.6,6,3,4
"19","35",7413320,18,"Athletic Training","1",5,6,3,5.5,5.5,2.733333333,5.5,3.333333333,5
"20","36",7415180,18,"Nursing","1",4.5,6,5,4,4.5,2.533333333,5.5,2.5,6
"21","37",7415265,18,"Integrated Mathematics Education","1",6,4.5,2.5,5,6.5,3.533333333,6,3,3
"22","38",7415371,18,"nursing","1",5,6.5,3,5.5,5.5,2.266666667,4.5,1.833333333,1
"23","40",7420112,18,"Education- Middle Grades","1",6.5,4.5,5.5,4.5,3.5,2.733333333,5.5,2.666666667,5
"24","41",7420211,18,"sports management","2",4.5,6.5,3.5,4.5,5.5,2.8,1,3,5
"25","42",7422970,18,"Psychology and Religion","1",6,5.5,4.5,5,5.5,3.066666667,4,3.333333333,3
"26","43",7423114,20,"exercise science","1",4,4.5,5,4,4,2.666666667,3.5,3,6
"27","44",7423644,18,"nursing","1",6.5,6,5.5,5,3,2.666666667,4,3,3
"28","45",7423839,18,"Psychology","1",6.5,6,4,4,3,2.333333333,3,2.166666667,1
"29","46",7423937,19,"Exercise Science","1",6,6.5,6.5,6,4.5,3,4,3.666666667,6
"30","47",7424023,18,"Dietetics","1",7,6.5,4.5,3.5,4,2.733333333,4.5,3.5,5
"31","48",7428326,18,"Exercise Science","1",5,6.5,4.5,6,2,2.266666667,7,3.333333333,5
"32","49",7428391,18,"Undecided","2",5,6.5,6.5,5,3,2.866666667,4,2.833333333,5
"33","50",7428509,20,"Environmental Science, Geology","1",6,6,2.5,5.5,2.5,2.6,5.5,3.5,5
"34","51",7437628,18,"nursing","1",5.5,6,2.5,6.5,1.5,3.066666667,6,3.5,7
"35","52",7437746,18,"Psychology","2",6.5,6.5,7,4.5,1,3.666666667,6,4.166666667,7
"36","53",7437914,18,"Nursing","1",6,5,5,3.5,2.5,2.933333333,6,4.166666667,6
"37","54",7476385,18,"Social Work","1",6,7,3.5,4,3.5,3.066666667,5,3.833333333,3
